ticker,year,sector,report_date,available_from,market_cap,pe,pb,roe,debt_equity,netdebt_ebitda,dividend_yield,free_float,source_main_url,source_metric_urls,data_quality_note
SBER,2019,Банки/финансы,2019-12-31,2020-07-01,5728.0,6.78,1.28,22.2,,,7.3,48.0,https://smart-lab.ru/q/SBER/f/y/MSFO/,https://smart-lab.ru/q/shares_fundamental4/?field=market_cap; https://smart-lab.ru/q/shares_fundamental4/?field=p_e; https://smart-lab.ru/q/shares_fundamental4/?field=p_bv ; banks: https://smart-lab.ru/q/shares_fundamental4/?field=p_b; https://smart-lab.ru/q/shares_fundamental4/?field=roe; https://smart-lab.ru/q/shares_fundamental4/?field=debt_ebitda; https://smart-lab.ru/q/shares_fundamental4/?field=div_yield; https://smart-lab.ru/q/shares_fundamental4/?field=free_float,Annual financial/fundamental metrics; debt_equity left blank because cross-company definition was not consistently available in the selected source pages.; uploaded_2019_2022_dataset; available_from_conservative_july1_next_year; no_forward_fill_added
SBER,2020,Банки/финансы,2020-12-31,2021-07-01,6091.0,8.0,1.21,16.1,,,6.9,48.0,https://smart-lab.ru/q/SBER/f/y/MSFO/,https://smart-lab.ru/q/shares_fundamental4/?field=market_cap; https://smart-lab.ru/q/shares_fundamental4/?field=p_e; https://smart-lab.ru/q/shares_fundamental4/?field=p_bv ; banks: https://smart-lab.ru/q/shares_fundamental4/?field=p_b; https://smart-lab.ru/q/shares_fundamental4/?field=roe; https://smart-lab.ru/q/shares_fundamental4/?field=debt_ebitda; https://smart-lab.ru/q/shares_fundamental4/?field=div_yield; https://smart-lab.ru/q/shares_fundamental4/?field=free_float,Annual financial/fundamental metrics; debt_equity left blank because cross-company definition was not consistently available in the selected source pages.; uploaded_2019_2022_dataset; available_from_conservative_july1_next_year; no_forward_fill_added
SBER,2021,Банки/финансы,2021-12-31,2022-07-01,6606.0,5.28,1.17,24.2,,,0.0,48.0,https://smart-lab.ru/q/SBER/f/y/MSFO/,https://smart-lab.ru/q/shares_fundamental4/?field=market_cap; https://smart-lab.ru/q/shares_fundamental4/?field=p_e; https://smart-lab.ru/q/shares_fundamental4/?field=p_bv ; banks: https://smart-lab.ru/q/shares_fundamental4/?field=p_b; https://smart-lab.ru/q/shares_fundamental4/?field=roe; https://smart-lab.ru/q/shares_fundamental4/?field=debt_ebitda; https://smart-lab.ru/q/shares_fundamental4/?field=div_yield; https://smart-lab.ru/q/shares_fundamental4/?field=free_float,Annual financial/fundamental metrics; debt_equity left blank because cross-company definition was not consistently available in the selected source pages.; uploaded_2019_2022_dataset; available_from_conservative_july1_next_year; no_forward_fill_added
SBER,2022,Банки/финансы,2022-12-31,2023-07-01,3189.0,11.8,0.55,5.2,,,17.7,48.0,https://smart-lab.ru/q/SBER/f/y/MSFO/,https://smart-lab.ru/q/shares_fundamental4/?field=market_cap; https://smart-lab.ru/q/shares_fundamental4/?field=p_e; https://smart-lab.ru/q/shares_fundamental4/?field=p_bv ; banks: https://smart-lab.ru/q/shares_fundamental4/?field=p_b; https://smart-lab.ru/q/shares_fundamental4/?field=roe; https://smart-lab.ru/q/shares_fundamental4/?field=debt_ebitda; https://smart-lab.ru/q/shares_fundamental4/?field=div_yield; https://smart-lab.ru/q/shares_fundamental4/?field=free_float,Annual financial/fundamental metrics; debt_equity left blank because cross-company definition was not consistently available in the selected source pages.; uploaded_2019_2022_dataset; available_from_conservative_july1_next_year; no_forward_fill_added
SBER,2023,Банки/финансы,2023-12-31,2024-02-28,6132.0,4.06,0.93,25.3,,,12.3,48.0,https://smart-lab.ru/q/SBER/f/y/MSFO/,market_cap=https://smart-lab.ru/q/shares_fundamental4/?field=market_cap; pe=https://smart-lab.ru/q/shares_fundamental4/?field=p_e; pb=https://smart-lab.ru/q/shares_fundamental4/?field=p_bv ; banks: https://smart-lab.ru/q/shares_fundamental4/?field=p_b; roe=https://smart-lab.ru/q/shares_fundamental4/?field=roe; netdebt_ebitda=https://smart-lab.ru/q/shares_fundamental4/?field=debt_ebitda; dividend_yield=https://smart-lab.ru/q/shares_fundamental4/?field=div_yield; free_float=https://smart-lab.ru/q/shares_fundamental4/?field=free_float; annual_msfo_table=https://smart-lab.ru/q/SBER/f/y/MSFO/; official_ir_site=https://www.sberbank.com,verified_2026-05-27_from_smartlab_annual_msfo_financial_table; actual_report_publication_date_used_as_available_from; blanks_mean_metric_absent_or_ambiguous_not_imputed; bank_metrics_no_netdebt_ebitda
SBER,2024,Банки/финансы,2024-12-31,2025-02-27,6305.0,3.99,0.88,24.0,,,12.5,48.0,https://smart-lab.ru/q/SBER/f/y/MSFO/,market_cap=https://smart-lab.ru/q/shares_fundamental4/?field=market_cap; pe=https://smart-lab.ru/q/shares_fundamental4/?field=p_e; pb=https://smart-lab.ru/q/shares_fundamental4/?field=p_bv ; banks: https://smart-lab.ru/q/shares_fundamental4/?field=p_b; roe=https://smart-lab.ru/q/shares_fundamental4/?field=roe; netdebt_ebitda=https://smart-lab.ru/q/shares_fundamental4/?field=debt_ebitda; dividend_yield=https://smart-lab.ru/q/shares_fundamental4/?field=div_yield; free_float=https://smart-lab.ru/q/shares_fundamental4/?field=free_float; annual_msfo_table=https://smart-lab.ru/q/SBER/f/y/MSFO/; official_ir_site=https://www.sberbank.com,verified_2026-05-27_from_smartlab_annual_msfo_financial_table; actual_report_publication_date_used_as_available_from; blanks_mean_metric_absent_or_ambiguous_not_imputed; bank_metrics_no_netdebt_ebitda
VTBR,2019,Банки/финансы,2019-12-31,2020-07-01,1754.0,8.68,1.06,12.8,,,0.0,50.0,https://smart-lab.ru/q/VTBR/f/y/MSFO/,https://smart-lab.ru/q/shares_fundamental4/?field=market_cap; https://smart-lab.ru/q/shares_fundamental4/?field=p_e; https://smart-lab.ru/q/shares_fundamental4/?field=p_bv ; banks: https://smart-lab.ru/q/shares_fundamental4/?field=p_b; https://smart-lab.ru/q/shares_fundamental4/?field=roe; https://smart-lab.ru/q/shares_fundamental4/?field=debt_ebitda; https://smart-lab.ru/q/shares_fundamental4/?field=div_yield; https://smart-lab.ru/q/shares_fundamental4/?field=free_float,Annual financial/fundamental metrics; debt_equity left blank because cross-company definition was not consistently available in the selected source pages.; uploaded_2019_2022_dataset; available_from_conservative_july1_next_year; no_forward_fill_added
VTBR,2020,Банки/финансы,2020-12-31,2021-07-01,1534.0,19.0,0.89,4.4,,,0.0,50.0,https://smart-lab.ru/q/VTBR/f/y/MSFO/,https://smart-lab.ru/q/shares_fundamental4/?field=market_cap; https://smart-lab.ru/q/shares_fundamental4/?field=p_e; https://smart-lab.ru/q/shares_fundamental4/?field=p_bv ; banks: https://smart-lab.ru/q/shares_fundamental4/?field=p_b; https://smart-lab.ru/q/shares_fundamental4/?field=roe; https://smart-lab.ru/q/shares_fundamental4/?field=debt_ebitda; https://smart-lab.ru/q/shares_fundamental4/?field=div_yield; https://smart-lab.ru/q/shares_fundamental4/?field=free_float,Annual financial/fundamental metrics; debt_equity left blank because cross-company definition was not consistently available in the selected source pages.; uploaded_2019_2022_dataset; available_from_conservative_july1_next_year; no_forward_fill_added
VTBR,2021,Банки/финансы,2021-12-31,2022-07-01,1816.0,5.58,0.83,16.5,,,32.1,50.0,https://smart-lab.ru/q/VTBR/f/y/MSFO/,https://smart-lab.ru/q/shares_fundamental4/?field=market_cap; https://smart-lab.ru/q/shares_fundamental4/?field=p_e; https://smart-lab.ru/q/shares_fundamental4/?field=p_bv ; banks: https://smart-lab.ru/q/shares_fundamental4/?field=p_b; https://smart-lab.ru/q/shares_fundamental4/?field=roe; https://smart-lab.ru/q/shares_fundamental4/?field=debt_ebitda; https://smart-lab.ru/q/shares_fundamental4/?field=div_yield; https://smart-lab.ru/q/shares_fundamental4/?field=free_float,Annual financial/fundamental metrics; debt_equity left blank because cross-company definition was not consistently available in the selected source pages.; uploaded_2019_2022_dataset; available_from_conservative_july1_next_year; no_forward_fill_added
VTBR,2022,Банки/финансы,2022-12-31,2023-07-01,967.4,-1.45,0.65,22.3,,,0.0,50.0,https://smart-lab.ru/q/VTBR/f/y/MSFO/,https://smart-lab.ru/q/shares_fundamental4/?field=market_cap; https://smart-lab.ru/q/shares_fundamental4/?field=p_e; https://smart-lab.ru/q/shares_fundamental4/?field=p_bv ; banks: https://smart-lab.ru/q/shares_fundamental4/?field=p_b; https://smart-lab.ru/q/shares_fundamental4/?field=roe; https://smart-lab.ru/q/shares_fundamental4/?field=debt_ebitda; https://smart-lab.ru/q/shares_fundamental4/?field=div_yield; https://smart-lab.ru/q/shares_fundamental4/?field=free_float,Annual financial/fundamental metrics; debt_equity left blank because cross-company definition was not consistently available in the selected source pages.; uploaded_2019_2022_dataset; available_from_conservative_july1_next_year; no_forward_fill_added
